cell_id,condition_id,capacity_Ah,soh_estimate,resistance_growth,predicted_rul_cycles,rul_lower_cycles,lifetime_interval_width,eligible,grade,gate_failures
T45_C0p5_D100_2,T45_C0p5_D100,1.713263,0.790362745260858,0.4524807458062783,-87.03157793212551,-138.301870762794,106.83787349221609,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C0p5_D100_3,T45_C0p5_D100,1.511599,0.7983172795720476,0.43445077203076377,-42.897619862434794,-94.29947149562008,106.83321100116927,False,REJECT,RUL_LOWER_BELOW_MIN
T45_C0p5_D50_0,T45_C0p5_D50,1.713986,0.889693922546684,0.266351975780752,789.7597735334571,680.2036333232707,227.50447547434896,True,A,NONE
T45_C0p5_D50_1,T45_C0p5_D50,1.784346,0.8995880796434813,0.25492507156086885,986.3910919454693,865.6265040776589,250.55606756122097,True,A,NONE
T45_C0p5_D50_2,T45_C0p5_D50,1.845682,0.8962016305813763,0.24608687423109687,806.0620967773464,714.3754661022972,189.11389170012603,True,A,NONE
T45_C0p5_D50_3,T45_C0p5_D50,1.663813,0.8895614220574543,0.22118792317383762,889.7701123245176,762.9594060594627,264.2502206521501,True,A,NONE
T45_C0p5_D80_0,T45_C0p5_D80,1.760071,0.8424516267994113,0.39476138308178443,158.79932499177028,92.73538661487248,137.30677872372212,True,B,NONE
T45_C0p5_D80_1,T45_C0p5_D80,1.782246,0.8492946037922774,0.3674843863186954,234.6006533671541,164.54488941912325,145.47792392442864,True,B,NONE
T45_C0p5_D80_2,T45_C0p5_D80,1.654181,0.8451047529130955,0.3873840768211665,271.99701405453106,200.91795313505474,147.47112795534588,True,B,NONE
T45_C0p5_D80_3,T45_C0p5_D80,1.763971,0.8608108444429696,0.3223389136012107,272.5579843039287,212.30659944925844,124.27519460903807,True,B,NONE
T45_C1_D100_0,T45_C1_D100,1.584565,0.8027355212741517,0.5024769305488099,-92.30774282530456,-143.17000638928118,105.98761544278534,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C1_D100_1,T45_C1_D100,1.459401,0.7888929100501072,0.47367833313170604,-98.30195050290104,-145.67625921809588,98.46239694091958,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C1_D100_2,T45_C1_D100,1.521594,0.7998238025789899,0.43633864864356053,-114.72467305211808,-159.92543357819636,93.86397964366165,False,REJECT,RUL_LOWER_BELOW_MIN
T45_C1_D100_3,T45_C1_D100,1.55851,0.7807706710652054,0.4888024275369065,-134.60533649478964,-177.40553470992222,88.79961870414195,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C1_D50_0,T45_C1_D50,1.890751,0.8819247615842499,0.2639455258905903,779.0675482174099,688.9714962276075,185.83314593591126,True,A,NONE
T45_C1_D50_1,T45_C1_D50,1.727041,0.885787197114259,0.270073141413524,760.28483122117,643.4877968874614,243.38356754901451,True,A,NONE
T45_C1_D50_2,T45_C1_D50,1.939592,0.8927129176957271,0.2700054225733983,841.5269888037042,725.83308584614,240.45731337496431,True,A,NONE
T45_C1_D50_3,T45_C1_D50,1.701494,0.8748963258338283,0.2690846871239472,700.4171963601787,597.2179100435533,214.30382138095797,True,A,NONE
T45_C1_D80_0,T45_C1_D80,1.614325,0.8232989536671375,0.3285435154278269,152.24832593124802,89.49768885361277,130.1917485972266,True,B,NONE
T45_C1_D80_1,T45_C1_D80,1.666034,0.8442328443960122,0.3987959789152291,156.1840308971639,102.78965753856392,110.1318443745829,True,B,NONE
T45_C1_D80_2,T45_C1_D80,1.59809,0.8452526372327628,0.4178395207836425,197.28279065315598,124.02520484122147,152.6553536795659,True,B,NONE
T45_C1_D80_3,T45_C1_D80,1.73679,0.8297202854831316,0.37167329458550014,164.78126942776225,98.28248168673554,138.21056627992198,True,B,NONE
T45_C2_D100_0,T45_C2_D100,1.380495,0.7687580711536759,0.5425241041876527,-189.10408067427943,-229.0126385137629,82.87418213885951,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C2_D100_1,T45_C2_D100,1.447397,0.7606964954491608,0.5199619259711572,-233.97878354591842,-269.8676393602514,74.46032600180644,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C2_D100_2,T45_C2_D100,1.428867,0.7605277563913033,0.5363065440975698,-225.3419777188003,-256.2559922810876,63.76359954450214,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C2_D100_3,T45_C2_D100,1.449412,0.7815083730806186,0.48090889137011295,-145.657395592331,-192.3938935410339,97.3902776760799,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C2_D50_0,T45_C2_D50,1.623862,0.8699354698385581,0.27415213054376175,611.4828369378492,512.5116826167557,205.7008819073053,True,A,NONE
T45_C2_D50_1,T45_C2_D50,1.833852,0.8704992293513878,0.3015178925575859,567.473784909947,473.73361505759885,194.6610033195741,True,A,NONE
T45_C2_D50_2,T45_C2_D50,1.754014,0.8671588932392056,0.32990493079158645,588.0258582442648,494.9672483050149,193.07314975988083,True,A,NONE
T45_C2_D50_3,T45_C2_D50,1.814947,0.8841168997426,0.3039028397786774,591.6091894606177,512.5585998221447,163.05064912576768,True,A,NONE
T45_C2_D80_0,T45_C2_D80,1.692961,0.8084731658805002,0.4169789924849603,18.710861173076637,-40.73696415701727,123.8783492612464,False,REJECT,RUL_LOWER_BELOW_MIN
T45_C2_D80_1,T45_C2_D80,1.746846,0.8186588183466975,0.4546017151445496,77.93875665671408,17.752867984195632,125.08988566654864,False,REJECT,RUL_LOWER_BELOW_MIN;RESISTANCE_GROWTH_ABOVE_MAX
T45_C2_D80_2,T45_C2_D80,1.5963,0.8180567986526124,0.4329273601423971,-1.651368009598741,-54.897458121628915,110.57092536079529,False,REJECT,RUL_LOWER_BELOW_MIN
T45_C2_D80_3,T45_C2_D80,1.668091,0.8273171365576606,0.43282309703330446,51.46841126781169,-4.273064730768056,115.64950680368315,False,REJECT,RUL_LOWER_BELOW_MIN
baseline_0,baseline,1.660511,0.8807198676993023,0.2616725217357172,666.3647162815907,582.9093651668577,172.13596045909162,True,A,NONE
baseline_1,baseline,1.741049,0.8909043832183106,0.24662117460257438,768.4947587765967,651.0628142784306,244.70660371838608,True,A,NONE
baseline_2,baseline,1.806191,0.8937581848038085,0.23026881667276333,743.7122864811806,635.1288910788992,225.6788894496965,True,A,NONE
baseline_3,baseline,1.888248,0.8925033889877277,0.2297726456049023,732.417157088908,626.9410271733152,219.03191884520265,True,A,NONE
