seed,scenario_class,scenario,n_cells,final_soh_mean,final_soh_sd,final_resistance_growth_mean,critical_fraction,ridge_soh_forecast_rmse,screening_rate,eligible_cells,grouping_rate_among_eligible,mean_group_inconsistency_raw,balanced_objective_per_group,group_solver_status
2026,operating_condition,high_temperature,24,0.7800742083333333,0.007810057719479236,0.51180081608993,1.0,0.0042175676169853345,0.8333333333333334,20,0.8,0.11107720196113449,0.010632368702503336,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,operating_condition,high_c_rate,24,0.8405147083333334,0.006312261675231575,0.3785095703457179,0.0,0.0038605598396781386,1.0,24,0.6666666666666666,0.06379862691622071,0.1424134793714425,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,operating_condition,high_dod,24,0.8083299583333333,0.0071023758963648115,0.464256081603311,0.16666666666666666,0.004081322423891416,1.0,24,0.6666666666666666,0.07799096710618172,0.11335501911951673,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,operating_condition,combined_stress,24,0.6864496666666665,0.015231424606895952,0.7600992973960524,1.0,0.004534458580196004,0.0,0,0.0,,,NO_FEASIBLE_GROUP_TARGET
2026,assumed_batch_proxy,batch_low_degradation_proxy,24,0.869510375,0.005020136957066839,0.31692766048727683,0.0,0.004608980921066358,1.0,24,0.6666666666666666,0.05213641234670674,0.10601195796777642,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,assumed_batch_proxy,batch_reference_proxy,24,0.8550115000000001,0.005577875088239243,0.35175994496415236,0.0,0.003978465885067683,1.0,24,0.6666666666666666,0.05475107089320919,0.10064216299794596,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2026,assumed_batch_proxy,batch_high_degradation_proxy,24,0.8410052083333334,0.012271381978609037,0.3895135072131768,0.0,0.004453266660209839,1.0,24,0.6666666666666666,0.10686468648396957,0.13625782186592666,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,operating_condition,baseline,24,0.8533622083333333,0.006600756257045896,0.347682571872926,0.0,0.004016444126511773,1.0,24,0.6666666666666666,0.06278952260445307,0.1638024095376269,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,operating_condition,high_temperature,24,0.7872247083333335,0.008752184715254265,0.5135890518637329,0.9166666666666666,0.003663041793071728,0.9583333333333334,23,0.6956521739130435,0.0837919711398196,0.17096168922762436,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,operating_condition,high_c_rate,24,0.8422113750000001,0.0068160805258135814,0.38555044420685886,0.0,0.0036818865325776427,1.0,24,0.6666666666666666,0.0679730597342862,0.10336576009005571,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,operating_condition,high_dod,24,0.8052701666666667,0.007435766714931873,0.47029610086438894,0.20833333333333334,0.0040905011506090164,1.0,24,0.6666666666666666,0.09741914447738956,0.04622632581671679,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,operating_condition,combined_stress,24,0.6891797083333334,0.012323659732668588,0.7540124987394762,1.0,0.004600259952274435,0.0,0,0.0,,,NO_FEASIBLE_GROUP_TARGET
4096,assumed_batch_proxy,batch_low_degradation_proxy,24,0.8680259166666667,0.005940586432308035,0.313247525481722,0.0,0.004389933355793775,1.0,24,0.6666666666666666,0.060359718556766036,0.17033719799287214,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,assumed_batch_proxy,batch_reference_proxy,24,0.8533622083333333,0.006600756257045896,0.347682571872926,0.0,0.004016444126511773,1.0,24,0.6666666666666666,0.06278952260445307,0.1638024095376269,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4096,assumed_batch_proxy,batch_high_degradation_proxy,24,0.837376875,0.014521593264607993,0.3805541062774962,0.0,0.005022829785222044,1.0,24,0.6666666666666666,0.11199341359754542,0.09956685278109617,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,operating_condition,baseline,24,0.8553297083333332,0.007018200211350291,0.34617817235890286,0.0,0.0035400180651023673,1.0,24,0.6666666666666666,0.08754294180205717,0.038383509157794406,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,operating_condition,high_temperature,24,0.7829278749999999,0.0069426496341604615,0.5163745674114971,1.0,0.003995631160509745,0.9583333333333334,23,0.6956521739130435,0.09319509883232525,0.1244834339949204,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,operating_condition,high_c_rate,24,0.8381385,0.006732640882298717,0.3836060533645758,0.0,0.0036964196357262284,1.0,24,0.6666666666666666,0.056066351095842314,0.10653669401397758,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,operating_condition,high_dod,24,0.8065257083333334,0.00873009207893006,0.4650861106885005,0.20833333333333334,0.0037762546390218464,1.0,24,0.6666666666666666,0.06928009024786988,0.09780043332959032,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,operating_condition,combined_stress,24,0.6874640416666665,0.01528618149800435,0.7554304319901965,1.0,0.004639432574801624,0.0,0,0.0,,,NO_FEASIBLE_GROUP_TARGET
8110,assumed_batch_proxy,batch_low_degradation_proxy,24,0.8697966666666668,0.006316361476796242,0.31189231537398227,0.0,0.003928269949742884,1.0,24,0.6666666666666666,0.07468254507899821,0.035707693612508834,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,assumed_batch_proxy,batch_reference_proxy,24,0.8553297083333332,0.007018200211350291,0.34617817235890286,0.0,0.0035400180651023673,1.0,24,0.6666666666666666,0.08754294180205717,0.038383509157794406,Optimization terminated successfully. (HiGHS Status 7: Optimal)
8110,assumed_batch_proxy,batch_high_degradation_proxy,24,0.8417052083333333,0.015440110124766942,0.377262299056399,0.0,0.004595192327551199,1.0,24,0.6666666666666666,0.10022722617444887,0.07998369910557311,Optimization terminated successfully. (HiGHS Status 7: Optimal)
