parameter,level,parameter_value,scenario,final_soh_mean,resistance_growth_mean,critical_fraction
k_C,high,0.11000000000000001,baseline,0.8528529583333334,0.34950258103541176,0.0
k_C,high,0.11000000000000001,combined_stress,0.6798419583333334,0.7581720098007784,1.0
k_C,high,0.11000000000000001,high_c_rate,0.8383281666666665,0.38523605541148603,0.0
k_C,high,0.11000000000000001,high_dod,0.8017790833333333,0.4635872677540294,0.375
k_C,high,0.11000000000000001,high_temperature,0.7848149583333335,0.5223151307461201,1.0
k_D,low,0.45,baseline,0.8554607083333332,0.34337492330426506,0.0
k_D,low,0.45,combined_stress,0.6902849166666666,0.733948310449008,1.0
k_D,low,0.45,high_c_rate,0.8424914166666667,0.37542673595344755,0.0
k_D,low,0.45,high_dod,0.80666425,0.45231213671416803,0.16666666666666666
k_D,low,0.45,high_temperature,0.7886284166666667,0.5132022070410504,0.875
k_D,base,0.5,baseline,0.8535503750000001,0.3478627196570568,0.0
k_D,base,0.5,combined_stress,0.6839641666666666,0.748611674532687,1.0
k_D,base,0.5,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
k_D,base,0.5,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
k_D,base,0.5,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
k_D,high,0.55,baseline,0.8516401666666668,0.35235180608251,0.0
k_D,high,0.55,combined_stress,0.677643375,0.7632636294122701,1.0
k_D,high,0.55,high_c_rate,0.8383281666666665,0.38523605541148603,0.0
k_D,high,0.55,high_dod,0.7987729166666666,0.47052934340822566,0.625
k_D,high,0.55,high_temperature,0.7830413749999999,0.5265552689968961,1.0
n_k_EFC,low,630.0,baseline,0.8469469583333332,0.3640261508085567,0.0
n_k_EFC,low,630.0,combined_stress,0.6723005,0.7770126296127392,1.0
n_k_EFC,low,630.0,high_c_rate,0.8332137916666666,0.39800674628118743,0.0
n_k_EFC,low,630.0,high_dod,0.7954374999999999,0.4789262364753659,0.7916666666666666
n_k_EFC,low,630.0,high_temperature,0.7761782083333334,0.5440369273809699,1.0
n_k_EFC,base,700.0,baseline,0.8535503750000001,0.3478627196570568,0.0
n_k_EFC,base,700.0,combined_stress,0.6839641666666666,0.748611674532687,1.0
n_k_EFC,base,700.0,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
n_k_EFC,base,700.0,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
n_k_EFC,base,700.0,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
n_k_EFC,high,770.0000000000001,baseline,0.8598312083333334,0.33248667429880907,0.0
n_k_EFC,high,770.0000000000001,combined_stress,0.6950579166666667,0.7215983731731143,1.0
n_k_EFC,high,770.0000000000001,high_c_rate,0.8472540416666666,0.36351994682382033,0.0
n_k_EFC,high,770.0000000000001,high_dod,0.809643625,0.444771204577755,0.08333333333333333
n_k_EFC,high,770.0000000000001,high_temperature,0.7950197499999999,0.4969023937382943,0.6666666666666666
sigma_cell,low,0.045000000000000005,baseline,0.85365175,0.3479804174899737,0.0
sigma_cell,low,0.045000000000000005,combined_stress,0.6840109583333334,0.7488918122987508,1.0
sigma_cell,low,0.045000000000000005,high_c_rate,0.8404400000000001,0.3804854162933797,0.0
sigma_cell,low,0.045000000000000005,high_dod,0.8031328750000001,0.4616440489225408,0.25
sigma_cell,low,0.045000000000000005,high_temperature,0.7855550416666667,0.5196867463834732,1.0
sigma_cell,base,0.05,baseline,0.8535503750000001,0.3478627196570568,0.0
sigma_cell,base,0.05,combined_stress,0.6839641666666666,0.748611674532687,1.0
sigma_cell,base,0.05,high_c_rate,0.8404096249999999,0.38033087917524205,0.0
sigma_cell,base,0.05,high_dod,0.8027185,0.46142156436565934,0.2916666666666667
sigma_cell,base,0.05,high_temperature,0.7858348749999999,0.5198810398603007,0.9583333333333334
sigma_cell,high,0.05500000000000001,baseline,0.8534490833333335,0.3477436718219693,0.0
sigma_cell,high,0.05500000000000001,combined_stress,0.6839173333333334,0.7483333162369018,1.0
sigma_cell,high,0.05500000000000001,high_c_rate,0.8403794583333334,0.380178652902371,0.0
sigma_cell,high,0.05500000000000001,high_dod,0.802304,0.461196982797411,0.3333333333333333
sigma_cell,high,0.05500000000000001,high_temperature,0.786114875,0.5200712953603416,0.9166666666666666
