seed,held_out_scenario,training_scenarios,strategy,candidate_group_count,training_reject_group_count,robust_candidate_group_count,max_feasible_groups,selected_groups,group_shortfall,thresholds_relaxed,selection_status,selection_worst_training_margin,n_groups,stable_count,reinspect_count,reject_count,stable_rate_target,selected_group_reject_rate,weakest_soh,largest_resistance_range,worst_safety_margin
17003,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,1123,1123,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17003,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,1123,,,8,8,0,False,ACCEPT_FIXED_GROUPS,,8,0,0,8,0.0,1.0,0.7546640808206633,0.028119085537801736,-1.0
17003,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,1123,924,199,3,3,5,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,0.017538812559736803,3,0,0,3,0.0,1.0,0.7796842479673677,0.025016471506724036,-1.0
17004,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,861,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,1,1,3,0.125,0.6,0.7808969414573503,0.016364991752209068,-1.0
17004,baseline_use,high_temperature;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,861,861,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17004,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,861,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,1,4,0.0,0.8,0.7635435941645654,0.02441441861077287,-1.0
17004,high_temperature,baseline_use;high_c_rate;high_dod;combined_stress,ROBUST_LOSO,861,861,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17004,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,REFERENCE_INTERVAL_RISK,861,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,1,4,0.0,0.8,0.7775365983308337,0.017923701767066813,-1.0
17004,high_c_rate,baseline_use;high_temperature;high_dod;combined_stress,ROBUST_LOSO,861,861,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17004,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,REFERENCE_INTERVAL_RISK,861,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,1,4,0.0,0.8,0.7688913720100872,0.017866676104766555,-1.0
17004,high_dod,baseline_use;high_temperature;high_c_rate;combined_stress,ROBUST_LOSO,861,861,0,0,0,8,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,0,0,0,0,0.0,,,,
17004,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,REFERENCE_INTERVAL_RISK,861,,,5,5,3,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,,5,0,0,5,0.0,1.0,0.7389146124746635,0.029193347636911282,-1.0
17004,combined_stress,baseline_use;high_temperature;high_c_rate;high_dod,ROBUST_LOSO,861,790,71,2,2,6,False,ABSTAIN_INSUFFICIENT_FEASIBILITY,-0.03039204316580591,2,0,0,2,0.0,1.0,0.7791038231053076,0.029193347636911282,-1.0
