history_window,feature_group,feature_names,model,n_rows,n_cells,mae,rmse,r2,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,r2_ci_low,r2_ci_high
50,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017122877464070936,0.01869330477625358,0.018432916962589824,0.020044530542388826,0.8514481581841442,0.8747886376301048
50,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,random_forest,1944,108,0.003839515979777592,0.004862994228236729,0.9914134760538156,0.0036638899301714148,0.004047917891274828,0.004613912605314504,0.005158373747297592,0.9896982094956572,0.9924785533222125
50,capacity_resistance,soh_observed;capacity_obs;capacity_slope;resistance_growth;resistance_slope;cycle;efc,ridge,1944,108,0.00382831555235056,0.004875396521027805,0.991369623079608,0.0036764332576363283,0.00401731890327151,0.004682426817186745,0.0051051736316061885,0.9901067583963563,0.9923141595943982
50,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,local_linear,1944,108,0.010606414439382416,0.012165698299078353,0.9462616953216799,0.010135360815326056,0.011044918518875492,0.011687364167193645,0.012611368893886199,0.9389166446467078,0.9505311272768031
50,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.01705746099522538,0.019069124736395462,0.01829139709728955,0.02037337467852661,0.8518030249002202,0.8741576445750526
50,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,random_forest,1944,108,0.0037697272514135576,0.00478542220497357,0.991685226981866,0.0035823693970783235,0.00395406045398498,0.004530881045491267,0.005030370660218243,0.9901237537558121,0.992695113438252
50,capacity_operating,soh_observed;capacity_obs;capacity_slope;cycle;efc;temperature;c_rate;dod,ridge,1944,108,0.003586421489665069,0.00450941392391961,0.9926167073946709,0.003387513591216429,0.00376024042415543,0.0042457142784929095,0.004723292819273225,0.9916537929983966,0.993494057857012
50,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,local_linear,1944,108,0.010606414439382416,0.012165698299078353,0.9462616953216799,0.0100013161267916,0.011035694908638649,0.011539486110582484,0.01260537858592754,0.9384391455383977,0.9515175827936163
50,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,persistence,1944,108,0.018056177513281254,0.019355497092331524,0.8639750621679044,0.017115840308764438,0.01890430207819377,0.018400704928707257,0.02014645723874161,0.8513975546871541,0.8745051774432281
50,all,soh_observed;capacity_obs;resistance_growth;capacity_slope;resistance_slope;cycle;efc;temperature;c_rate;dod,random_forest,1944,108,0.0036347730331318297,0.0046195995751482,0.992251483848253,0.003435993161655715,0.0038036056665183586,0.004337363952540218,0.004881799587465819,0.9910699596431051,0.9931342291136684
